Age,Height,Weight,Gender,Likeness
19,170,98,Female,Biryani
43,168,82,Male,Salad
48,182,84,Male,Pakora
36,177,70,Female,Samosa
39,169,65,Female,Pakora
59,164,57,Female,Biryani
37,189,66,Female,Salad
45,159,98,Female,Samosa
19,186,71,Female,Salad
38,189,65,Female,Biryani
19,184,60,Female,Biryani
62,165,64,Female,Samosa
23,167,57,Male,Pakora
49,187,92,Male,Pakora
40,179,85,Male,Salad
34,189,56,Male,Biryani
64,163,97,Male,Biryani
46,190,81,Male,Samosa
30,155,69,Female,Samosa
51,170,84,Male,Biryani
19,177,87,Male,Salad
34,179,62,Female,Biryani
43,178,75,Female,Salad
18,175,82,Male,Biryani
23,187,91,Female,Pakora
47,189,71,Male,Samosa
19,188,65,Female,Samosa
58,187,79,Male,Salad
44,163,74,Female,Biryani
58,186,74,Female,Samosa
38,170,70,Male,Biryani
20,175,71,Male,Salad
27,177,95,Female,Samosa
45,185,95,Female,Biryani
37,178,73,Male,Biryani
22,171,66,Female,Biryani
58,164,73,Female,Pakora
39,177,78,Female,Biryani
46,188,68,Male,Salad
40,169,78,Female,Pakora
22,174,70,Male,Samosa
60,172,83,Female,Samosa
30,179,69,Female,Samosa
58,179,88,Female,Salad
61,155,57,Male,Biryani
27,190,75,Female,Salad
63,156,63,Female,Biryani
34,190,72,Female,Pakora
46,187,67,Male,Pakora
52,181,70,Male,Pakora
